Sentences,Opinion Term,Aspect Category,Aspect Polarity ,opinion term,aspect  category,Aspect polarity,opinion term,aspect category ,Aspect polarity ,opinion term,aspect  category ,aspect polarity ,,,,,,
"Urban Company is doing unethical business.I had booked a Loreal Sunsiglow facial of Rs 1299/- on 5th October.They sent the facial kit of Cheryl's cosmeceuticals which costs only Rs. 300/- and when I raised complain they are saying both are same, whereas written at the backside in very small letters is that this is being marketed by Loreal. It's clear that it is not a Loreal product, it's being marketed by Loreal. They do not want to address the issue and are keeping mum. Please be cautious.",,,,,,,,,,,,,,,,,,
"Your person asked to cancel service and give money to hand ,he wants to directly work and take money this is not acceptable",,,,,,,,,,,,,,,,,,
Nikhat shaikh is  professional ...thnx urban to give best professional nd thnx for using  quality materials ...I love UC work ðŸ‘,,,,,,,,,,,,,,,,,,
Overall it is  but I would like to know why there isn't a cart feature in this app ??,,,,,,,,,,,,,,,,,,
She is superb n very polite. Knows her work very well...,,,,,,,,,,,,,,,,,,
Satisfied with the work done,,,,,,,,,,,,,,,,,,
I booked my appointment today at 8:30pm...I waited so long...then 9.50pm I called my beautician and she told me to go and complain I don't care and cut the ph....now u tell me what I do...I do complain or not....I am very disappointed to this behavior...and I never booked urban service at all...and I suggest you plz teach that girl how to talk or deal a customer....ðŸš«ðŸš«ðŸš«,,,,,,,,,,,,,,,,,,
Worst service provided by urban company they have worst refund policy .they do not have any custome care no. in case if anyone have issue you will not be able to contact them,,,,,,,,,,,,,,,,,,
she is very humble lady and also perfect in her job.Keep it upðŸ‘,,,,,,,,,,,,,,,,,,
"Used this app for first time and their service for the first time. Their service person was highly rude and arrogant. He was hardly 300mts from house and was not willing to come. After persuading, the plumber came and shockingly very very rude. I declined taking service from him and he was not willing to leave the house and my wife was alone at home. He was adament that I speak with customer care then only he will leave. Worst ever experience, not going to use their app or service ever.",,,,,,,,,,,,,,,,,,
every 2 months u are increasing price,,,,,,,,,,,,,,,,,,
Professional don't carry the professional tools as demonstrated in video.,,,,,,,,,,,,,,,,,,
Need to lower the price and add more discounts,,,,,,,,,,,,,,,,,,
"Well.... I USED to think UC as a professional company....but i will give 100% credit to them for changing my perception..... never expected such unprofessional behaviour. Nevertheless, since i have already paid the complete amount, don't think there is any other option available but to endure this unprofessional behaviour.",,,,,,,,,,,,,,,,,,
Overall  experience.,,,,,,,,,,,,,,,,,,
thnx urban clap. keep it up,,,,,,,,,,,,,,,,,,
"For TV Uninstallation showing cost more than 250, local vendor done with 150 rupees that also on priority basis, no need to wait for slot booking, they seriously need to work on rate card what they are charging.",,,,,,,,,,,,,,,,,,
"I booked for three bathroom platinum cleaning, Result, 1-they were not in uniform. 2-they were not equipped 3-they were carried some chemical to clean the taps 4-came with only small brushing machine 5-Did not carried any grauting machine for tiles All the three bathroom s floor not cleaned as they promised, When I booked , they promised me the person will come in with all following protocals, I spoke to Madam sakshi and complain about they are coming without Id, she said it's ok.v.Disappoin..",,,,,,,,,,,,,,,,,,
My home owner call uc for repairing water purifier... the person is so rude and very unprofessional... also do poor work,,,,,,,,,,,,,,,,,,
I couldn't find home theatre repair section here.,,,,,,,,,,,,,,,,,,
Superb excellent service,,,,,,,,,,,,,,,,,,
Job sincerely done.,,,,,,,,,,,,,,,,,,
excellent service and efficient in his work,,,,,,,,,,,,,,,,,,
Nice app getting progressive updates.,,,,,,,,,,,,,,,,,,
Unprofessional chain of services,,,,,,,,,,,,,,,,,,
Services need to be improved.,,,,,,,,,,,,,,,,,,
Giving Prompt service and very reasonable with a lot of offers.â¤ï¸â¤ï¸,,,,,,,,,,,,,,,,,,
great once more time ... Again,,,,,,,,,,,,,,,,,,
Everytime I do a booking it is never on time not because of professionals but because they aren't able to assign a professional .. but take money in advance,,,,,,,,,,,,,,,,,,
Not satisfactory,,,,,,,,,,,,,,,,,,
Doing fraud..I was booked service at 1pm and they assure beautician will come 05pm.. o 05 pm they call sorry we shift for tomorrow,,,,,,,,,,,,,,,,,,
 service from reshma very polite n calm,,,,,,,,,,,,,,,,,,
after get AMC No one listen complant they dont gave any helpline no. or email id,,,,,,,,,,,,,,,,,,
This is my worst experience ever in my life .Sameer is the most unelgible lead .people who came to clean my house has rejected my request .is this the way to work .THEY LEFT US INTHE DUSTY HOUSE .OH MY GOD . THIS IS .WORST TEAM .I don't want to give even one star in rating,,,,,,,,,,,,,,,,,,
You guys are theives!!,,,,,,,,,,,,,,,,,,
 service I happy ðŸ˜,,,,,,,,,,,,,,,,,,
All services under one roof.,,,,,,,,,,,,,,,,,,
Called for chimney service. Mechanic said motor faulty and replacement would cost Rs 4500. Sent him out. Called Elica and found that only capacitor had failed. Cost Rs 120.,,,,,,,,,,,,,,,,,,
"Though service charges are reasonable, the spares are charged at twice market rates.For example diaphragm pump charged Rs.3500/ but market rate 1800/to 2000/ only.",,,,,,,,,,,,,,,,,,
My friend posted a negative review which was very genuine & these guys deleted.Those review n comments. How cheap.,,,,,,,,,,,,,,,,,,
Need to take alot of follow up for refund still delayed,,,,,,,,,,,,,,,,,,
Very  service and well mannered.l would like to call her again.,,,,,,,,,,,,,,,,,,
very much needed in urban areas to get professional and skilled workers and technicians.,,,,,,,,,,,,,,,,,,
What's customer care number urban clap,,,,,,,,,,,,,,,,,,
charged extra 50rs for PPE kits n etc which they didnt wear for bathroom cleaning,,,,,,,,,,,,,,,,,,
Urban company 3rd class company hai,,,,,,,,,,,,,,,,,,
A fruad and heater Co after taking money they never respond for their warranty,,,,,,,,,,,,,,,,,,
"Very useful service.... used the house cleaning, sofa cleaning, carpentry services, etc. and found it to excellent",,,,,,,,,,,,,,,,,,
make cancellation request before 1 hr of service for any customer so the partner will not feel bad about cancellation,,,,,,,,,,,,,,,,,,
Very bad company,,,,,,,,,,,,,,,,,,
Very potential and hard working professional person.I reccomend this a very awesome app which can make our home fully clean and well furnished.,,,,,,,,,,,,,,,,,,
"Hard to give objective feedback when it's not optional and the assigned person insists on getting feedback right after the job. For services with multiple visits, previous feedback causes friction.",,,,,,,,,,,,,,,,,,
Its was great..â¤,,,,,,,,,,,,,,,,,,
No option to contact service center,,,,,,,,,,,,,,,,,,
customer care executive prompt,,,,,,,,,,,,,,,,,,
Nice app,,,,,,,,,,,,,,,,,,
 service and well mannered staff.,,,,,,,,,,,,,,,,,,
Fake warranty promise .Don't fall for it .The service provider will call and deny on the service date.,,,,,,,,,,,,,,,,,,
Help centre to the service is very poor. It is very difficult to contact any person for your help . There is no customer care no available,,,,,,,,,,,,,,,,,,
very excellent and super hygiene person,,,,,,,,,,,,,,,,,,
pathetic app. payment faults many time at end have paid cash. took membership but hvnt got any discount at time of billing. no option in app to address this.,,,,,,,,,,,,,,,,,,
thanks quick and satisfied service,,,,,,,,,,,,,,,,,,
Pathetic service and an absolute cheats,,,,,,,,,,,,,,,,,,
Worst experience in guwahati Assam the booked my bookings 2 days before and they denied duty on present day,,,,,,,,,,,,,,,,,,
All problems one solution. It's urban company.,,,,,,,,,,,,,,,,,,
Very very worst app,,,,,,,,,,,,,,,,,,
"No hair desser is available right now at my location that is Ichapur Nawabganj, North 24 Parganas, PIN-743144... Even though it was available few months ago...",,,,,,,,,,,,,,,,,,
"Pathetic customer support, typical example of the rise and fall of a promising company. Repeated rescheduling and scheduling not being met promptly, no customer service empathy. Even more pathetic is there is no refund option of subscription . Now i have paid a subscription for a service which I won't use. Feel sorry to see you fail wish the company does things right.",,,,,,,,,,,,,,,,,,
"If you want to book a full home cleaning only full payment required for checkout!! Why should I pay full before taking service? They already got huge investment from foreign investors, so now they are too hungry to cheat customer as well as their professional. Please don't ask my registered number (so called common reply from customer service). Anybody can check ""only full payment required for checkout"". By this way You will definitely loose more genuine customer!!",,,,,,,,,,,,,,,,,,
Very unprofessional service. Their workers come and always say we will do your work personally. Don't book with urbanclap and their work is unprofessional. It's my advice to all do not book anything from here,,,,,,,,,,,,,,,,,,
Fraud company..,,,,,,,,,,,,,,,,,,
"Disappointed.. Not at all upto the mark. Dont know P of professional. After complaining Uc cs,workers started work properly.. Better u ppl look for local maids to do cleaning work coz UC is not doing wonders even after charging huge amt. After struggling with these ppl to get our work done they requested me to rate them nicely so that their job wont get affected. There is no difference in essential, premium n platinum.. Platinum cleaning is basic only",,,,,,,,,,,,,,,,,,
Fake company hai ye ese koi bhi service na le,,,,,,,,,,,,,,,,,,
Ur Add to cart option is very pathetic and confusion. Whenever I change the type (Home cleaning and car cleaning) of service it automatically get empty.,,,,,,,,,,,,,,,,,,
super servicess..great...ðŸ˜,,,,,,,,,,,,,,,,,,
costly,,,,,,,,,,,,,,,,,,
Worst company I had ever seen. They don't hire professional but tied up with local vendor and local vendor don't know how to get work done. They ruined my painting work in home. Whatever consultant suggested we paid but on ground reality they send us professional who worst painted it. Even customer care is worst they don't value feedback provided by customer.,,,,,,,,,,,,,,,,,,
Essential services Ã t our ðŸ¤ž,,,,,,,,,,,,,,,,,,
No customer service being provided. Only calls being made by the customer care team and no follow-up with regards to confirming that problem is solved or not. One way communication,,,,,,,,,,,,,,,,,,
This makes my life easier.,,,,,,,,,,,,,,,,,,
Earlier I had posted a negative review it seems to have disappeared I again say the same the team they sent was the worst Mr Kamal Prasad did such shoddy work my brand New kitchen cabinets are scratched so when ever I look at them I really curse the company for employing such third rate characters Even over all the cleanliness was just not there from any angle,,,,,,,,,,,,,,,,,,
" one team still now, every service are special by specialists",,,,,,,,,,,,,,,,,,
Cooling is still not at its best,,,,,,,,,,,,,,,,,,
"We shifted to Adani Shantigram, but now they show no option for massage. My wife using it frequently",,,,,,,,,,,,,,,,,,
Patheatic service. Destroyed almost all my bathroom fittings. And when esclated. It was just noted as a feedback.,,,,,,,,,,,,,,,,,,
They made me reschedule my booking three times in time span of 3 days....which was worst as I also took half day from my job because for my weekend booking there was no professional assigned...n even after third reschedule they cancelled my bookings s no professional available. This was the worst experience with UC never gonna book again.,,,,,,,,,,,,,,,,,,
Very poor UC App,app,App utility,,,,,,,,,,,,,,,,
"UC = UN SATISFIED CUSTOMERS OR UNSATISFACTORY COMPANY.... UC was a great concept when it first started but in these lock downs, they have taken a terrible down turn. Their services are unsatisfactory, AND everything is an ADD ON! Add ons, become the Mantra of UC these days, to RIP off customer as much as they can! Their staff are no longer courteous OR well trained. Most of the Carpenters, Electricians, and even house cleaning technicians, don't know what they are doing VERY DISSAPOINTING WORK!!",,,,,,,,,,,,,,,,,,
"Excellent app, I shall buy services from UC again, recommend this product to my friends.",app,App utility,Positive,,,,,,,,,,,,,,,
No call from urban clap for our experience,,,,,,,,,,,,,,,,,,
Poor service,service,Company's service,Negative,,,,,,,,,,,,,,,
"very  customer service and skilled professionals, will definitely recommend UC",,,,,,,,,,,,,,,,,,
"From the time when they have introduced categories for salon, we can't select our existing professional from whom we were usually took service from. And today I selected classic for some package and she just ruined my eyebrows. I didn't get option to select even my professional. I am taking service from last 3 years. But this time it was so pathtic I have to think twice before taking this salon service again",,,,,,,,,,,,,,,,,,
I'm very happy and satisfied with the work done by Manikyam and his team lead by Raju and others. Very professional cleaning. All the workers are very patience. Thank you Urban Clap. i stringly recommend Urban Clab especially this team.,satisfied,Service person's attitude,Positive,Service quality,cleaning,Positive,,,,,,,,,,,,
"Worst attitude ever ,unprofessional image from the service provider",unprofessional,Service person's attitude,Negative,,,,,,,,,,,,,,,
Excellent Service.,service,Company's service,Positive,,,,,,,,,,,,,,,
very  and efficient cleaning,cleaning,Company's service,Positive,,,,,,,,,,,,,,,
I am very happy with the service.,service,Company's service,Positive,,,,,,,,,,,,,,,
"Horrible...cancelled appointment at the time they were supposed to show up. The reason, didn't anticipate to be late :D Most stupid reason I've ever heard. Avoid at any cost, waste of time.",,,,,,,,,,,,,,,,,,
Notbody has assigned and no call from company's side after assigning call back also and you cannot call them worst experience,,,,,,,,,,,,,,,,,,
The service given by 'Nisha' was excellent. I loved the service of Urban company. I am very much satisfied by 'Nisha'.,service,Company's service,Positive,Service person attitude,satisfied,Positive,,,,,,,,,,,,
Very happy with fan cleaning service. Hassle free and professional,service,Company's service,Positive,Service person attitude,professional,Positive,,,,,,,,,,,,
Ac servicing is excellent and they maintained professional in handling,servicing,Company's service,Positive,Service person attitude,professional,Positive,,,,,,,,,,,,
Very helpful. One stop shop for all,helpful,,,,,,,,,,,,,,,,,
"They cancel at last moment by giving fake message of ""unable to contact you despite several attempts"", neither pick up the call and even show fake location.... Their beauticians works (if they reach) but their service and management is pathetic",,,,,,,,,,,,,,,,,,
"Worst App, no helpline for assistance.",app,App utility,Negative,,,,,,,,,,,,,,,
service was excellent. I will recommend jyoti kumari. Her work is perfect,,,,,,,,,,,,,,,,,,
"The luxe salon services are not available again. Last month I mailed the issue and they made the necessary bug fixes. This month again it is unavailable. Customer care is worse than useless. Did not reply to my mail. Called up and whatsapped a certain Vivek, who is supposedly in charge of Luxe. Again no response. This is the festive season. Are you even aware that you are losing regulars?",,,,,,,,,,,,,,,,,,
Not giving your perfectly service I am not impressed and cash on delivery is not available,,,,,,,,,,,,,,,,,,
there is no way customer may call upon anyone. customer is at the mercy of contractor to get his work done,call,Customer care,Negative,,,,,,,,,,,,,,,
"I have been using since 3 years , I enjoy the services especially make your own packages. I like the detailing of every service they provide. Got  & experienced person everytime I Booked. So I took the service plan, thankyou.",,,,,,,,,,,,,,,,,,
Very  service at home with very less price ,price,Cost,Positive,,,,,,,,,,,,,,,
"After an initial unpleasant handling of the matter by the support executive. I found all other aspects to be excellent. The proffessional services rendered was the best. I was totally satisfied with the great and efficient service , polite behaviour and attitude of the proffessional .",,,,,,,,,,,,,,,,,,
sevice is excellent,service,Company's service,Positive,,,,,,,,,,,,,,,
"Bijayraj did an excellent job, very satisfied.",job,Service person's attitude,Positive,,,,,,,,,,,,,,,
Very bad they are not giving back the money for cancellations,,,,,,,,,,,,,,,,,,
"Worst experience with painting services, don't book this service with Urban Company. Their policies are pathetic. They misguide customer and painter. They don't allow you to make any alterations in case colour shade is not suitable. Instead to finish their work they apply unsuitable colour shade without bothering your choice. WASTE of TIME, MONEY, EFFORTS, and ENERGY. GO FOR KNOWN OR LOCAL VENDORS ONLY. I would have rated them negative if I could.",,,,,,,,,,,,,,,,,,
Booked for AC servicing. Said no technician available but there is no response so far. How long to wait for service and repair. If unable to do please respond so we can arrange others. Not at all satisfied with ac service booking.,,,,,,,,,,,,,,,,,,
"He is very punctual, dedicated,  behaviour, worked with passion, he is a very nice young person",punctual,Service person's attitude,Positive,,,,,,,,,,,,,,,
I have book for sofa cleaning services and the staff reach the home and than he is denied the service. He is stated to give resong . This not my duties. This will I not do and so on. Very wost experience. Not satisfied with service . ðŸ˜• Suredra Kumar sahu he is very bad staff for so big company,,,,,,,,,,,,,,,,,,
"Give us details about each facial, so that we choose accordingly for our skin texture, this will help us & we can get better complexion for the service chosen",,,,,,,,,,,,,,,,,,
"Very poor experience they take money and do not have professionals to service, they have been rescheduling for 2 days and no confirmation yet",,,,,,,,,,,,,,,,,,
I had booked for deep cleaning by seeing the video but in video they shown floor cleaning by an electric brush but the cleaning worker did not use any machines to clean the bathroom he did fully manual.,,,,,,,,,,,,,,,,,,
happy service,service,Company's service,Positive,,,,,,,,,,,,,,,
"The second booking is 30% off but when I book, it shows with no discount.",,,,,,,,,,,,,,,,,,
Worst service ever.... Uninstalling it....,service,Company's service,Negative,,,,,,,,,,,,,,,
I m regular with uC but this time one of the assigned one didn't ask for otp and she didn't have change so she kept 44 rs with her told me that iwll return tomorrow and it has been 1 month .not returned,,,,,,,,,,,,,,,,,,
They don't describe service details properly.,service,Company's service,Negative,,,,,,,,,,,,,,,
First 2 services were . From then onwards whenever I book a service and wait for the service person they don't respond. It's just this for the last 3 services. I uninstalled the app instantly.,,,,,,,,,,,,,,,,,,
Worst service from Urban Company no one is ready to listen customer concern and moreover if customer wants to connect with someone in higher authority they won't allow you people are refusing to take calls more over they blocked my number too,,,,,,,,,,,,,,,,,,
Pathetic service,service,Company's service,Negative,,,,,,,,,,,,,,,
"Knowing what the customor needs , the execution perfect",,,,,,,,,,,,,,,,,,
Worst experience by UC...professional arrogant .....servicing not done as said by professional and was misbehaving at house...,,,,,,,,,,,,,,,,,,
Punctual and excellent professional service rendered.,professional,Service quality,Positive,,,,,,,,,,,,,,,
"We booked for AC repair in office and paid amount but service was refused because it's an office. But office option is there in app. After technician has visited our office, he declined to give service and a lady at the controlling centre said the office option is not showing in their system. Altogether a very bad experience and UC remains a bad managed company. Careful while booking because what they show in UC App may not locally happen/represent. Careful.",,,,,,,,,,,,,,,,,,
"Fit to be renamed as ""Urban Loot"" .. Too pricey..someone come forward to start a competing company",pricey,Cost,Negative,,,,,,,,,,,,,,,
nice service on time,service,Company's service,Positive,,,,,,,,,,,,,,,
very quick service,service,Company's service,Positive,,,,,,,,,,,,,,,
No option to contact customer care and no option to write our queries under the app. There is help center which does not have options related to my query.,,,,,,,,,,,,,,,,,,
Worst service ever. They could not fix my issue. Even after they gave the service issue occured again and again and new issue occured. They charged me even after revisit of professional who was not capable enough to fix in first visit. I need my refund. Professional also took money from me offline in 2nd visit and asked me to cancel the visit. Company is not having any control on their stuff. Not a genuine app.,,,,,,,,,,,,,,,,,,
"Pathetic service, been 10 days no response or update on my washing machine repair. Customer service never calls back and there is no way to connect with customer service directly. Utterly unprofessional service.",repair,Service quality,Negative,Customer care,calls,Negative,unprofessional,Service person's attitude,Negative,,,,,,,,,
U can never reach their customer care of u want to but they can reach u all the time. It's one way communication.,customer care,Customer care,Negative,,,,,,,,,,,,,,,
"The worst company. They are incapable of fulfilling their commitment to the customer. You book and pay extra charge, then on time of delivery of service they call to reschedule. Not recommended at all.",charge,Cost,Negative,Company's service,Time,Negative,,,,,,,,,,,,
The app gets slow in-between. There is np coordination btw professionals coming to serve and management. Not dependable at all,app,App utility,Negative,,,,,,,,,,,,,,,
More prices for less work,price,Cost,Negative,,,,,,,,,,,,,,,
The service is nice. But the items which need to be replaced are not as sealed pieces. I don't understand why they not as sealed pack,service,Company's service,Positive,,,,,,,,,,,,,,,
Poor app quality but  service. They have listed mom n daughter saloon but same is not available in the list to be added. You do not have option to give them feedback so keep complaining in social media and play store until they are Out Of Business. This sounds similar story of some other service provider,app,App utility,Negative,Company's service,available,Negative,,,,,, ,,,,,,
"Recently they have started their services in Meerut and I have booked. But I can say that they are doing a kind of scam. First, they offered you a service and asked you to book the slot then they offered ( not forced) membership kind of lollipop with discount. After some time you get to know the person will not come as per selected or desired slot. Then they keep you calling and asked for different slots as per their professional availability and surprisingly the person will not be available.",availibility,Company's service,Negative,,,,,,,,,,,,,,,
"In the recent past what I have experienced is that the company is resorting to all sorts illegal, arbitrary and malpractices in case of billing. Even for specific issues they are charging visit fee over and above service fee apart from welfare charges etc and thereby nullifying the discount to members for which they are charging additional fees which is totally illegal and unjustified and deficiency. A complaint should be lodged before the Central Consumer Protection Authority in this regard.",additional cost,Cost,Negative,,,,,,,,,,,,,,,
Customer service is disgusting no complaints are taken seriously only assurances,complaints,Service quality,Negative,,,,,,,,,,,,,,,
A real 3rd class experience from a world class company like Tata. Book them if you want to spoil your schedules & events. I booked 3 days in advance with advance payment but no service provider assigned even on the date of service. Neither you can call them nor msg not even call back on the helpline they called from. Bloody ruined my entire function at the last moment. Idiots kept on saying till the last minute but did absolutely nothing. disgusting,experience,Service quality,Negative,App utility,no call back,Negative,,,,,,,,,,,,
"Worst services ever, I have booked the salon services, yesterday, but there is no expert assigned yet, n I'm getting calls on calls for inconvenience things discussion. Pathetic #worst service urban company...",services,Service quality,Negative,,,,,,,,,,,,,,,
I had hired for full home cleaning. They call next day to upgrade the services.. And utenfsl removal will cost extra 500 . They rnot professional cleaners but some jhoparpatti boys who don't clean as wanted. They just do the regular dusting nd sweeping which we do everyday. Total waste of 4500rspls don't waste ur money instead pay ur maid nd get ur home cleaned,services,Service quality,Negative,,,,,,,,,,,,,,,
Very poor provide services,services,Service quality,Negative,,,,,,,,,,,,,,,
"They dont have any custom care to talk to if you are stuck with a bad service person. At the time of booking, you cannot even put a request on preferrence of service person. We wanted vaccinated person, but they assigned unvaccinated in two successive bookings (they claim that 95% of people are vaccinated). Their membership is a trap. There is no customer care, So I cannot take these issues with anyone. Even if they have a customer care, It is very well hidden. You cannnot reach out to them.",customer care,Customer care,Negative,,,,,,,,,,,,,,,
"Professional told to cancel the booking as I have selected empty home cleaning for my villa whereas he claims it's applicable only for apartment. Such information was not provided anywhere in the description. He tells me to select villa deep cleaning, why should i do it when there is no carpet or sofa or any other materials. Pathetic service from UC over all by fooling the customers and now i ll be charged cancellation fee too because of you guys.",services,Company's service,Negative,Service schedule,cancellation,Negative,,,,,,,,,,,,
No professional assigned for 2 consecutive bookings!,professional,Company's service,Negative,,,,,,,,,,,,,,,
Very smooth service by expert mechanics. Thanks.,service,Service quality,Positive,,,,,,,,,,,,,,,
Very bad experinces with us,experience,Company's service,Negative,,,,,,,,,,,,,,,
professional services,services,Service quality,Positive,,,,,,,,,,,,,,,
Very irresponsible and non responsive to customer complaints.,complaints,Customer care,Negative,,,,,,,,,,,,,,,
"App does not work properly, it is very difficult to select preferred service provider",app,App utility,Negative,,,,,,,,,,,,,,,
"They are not giving correct time slot.they are give their convenient time,not ours.",time,Service schedule,Negative,,,,,,,,,,,,,,,
Amazing experience,experience,Company's service,Positive,,,,,,,,,,,,,,,
Waste service. Regret to be a UC customer,service,Service quality,Negative,,,,,,,,,,,,,,,
"Urban company doesn't deliver what they promise, i had to attend a meeting and i scheduled a grooming session the executive never turned up for 1 hour 30 minutes from scheduled time. This was so disappointing and on top of that membership was imposed and no refund was received",refund,Cost,Negative,Service schedule,scheduled,Negative,,,,,,,,,,,,
service was perfect..but urban clas doesnt provide a contact number.and so i wasnt able to use my gift card,service,Company's service,Positive,Customer care,contact,Negative,,,,,,,,,,,,
we like the service very much,service,Company's service,Positive,,,,,,,,,,,,,,,
service was excellent...,service,Company's service,Positive,,,,,,,,,,,,,,,
"Very worst service I received.. the technician has taken our AC for repairing , it's being more than 2 month . I didnt get my AC back . Everytime m getting call from customer support team and they are giving 2 days assurity for getting my AC back . Hut still m not getting .. please dont handover ur valuable belonging to them .. dont trust this people..",technician,Service quality,Negative,,,,,,,,,,,,,,,
Booked for pest control and the guy didn't show up!! Highly unprofessional!! It took me 2 hours to clear the kitchen and all my utensils and stuff is in the balcony now. Even the refund would come after 5-7 working days!! This is highly disappointing and unacceptable!!,booked,Company's service,Negative,Service person attitude,unprofessional,Negative,,,,,,,,,,,,
They provide excellent service.pricy but worth it.,service,Company's service,Positive,Cost,pricy,Negative,,,,,,,,,,,,
Worst service app ever used. They ask after your schedule time to reschedule it.,services,App utility,Negative,Service schedule,reschedule,Negative,,,,,,,,,,,,
"Booked for aircon servicing. Got rescheduled once bcoz technician was not available. Got rescheduled another day again bcoz the other technician's machine broke down. All in all, I didn't manage to engage their service at all and I lost time bcoz of their inability to render services. Very frustrating bcoz all the bookings were cancelled last minute when i made special arrangements twice to stay home for the servicing.",service,Service quality,Negative,Service schedule,reschedule,,,,,,,,,,,,,
Pathetic app.. never use its services. Highly unprofessional people.,services,App utility,Negative,Company's service,unprofessional,Negative,,,,,,,,,,,,
" service,  quality work, nice prices",services,Service quality,Positive,Cost,price,Positive,,,,,,,,,,,,
Got deep cleansing of the bathroom. Mr Kiran did excellent job. With patience he did his job. thanks Kiran.,patience,Service person's attitude,Positive,Service quality,cleaning,Positive,,,,,,,,,,,,
"Excellent haircut did as per the requirement  staff  service at this crucial time Such type of services are boom that also online Booking Polite Helpful Staff, thanks for this useful technology Great Thanks",service,Service quality,Positive,Service person attitude,polite,Positive,,,,,,,,,,,,
App Design is worst and no contact numbers of customer care to take help on services provided. Design the App properly and come to the market,app,App utility,Negative,Customer care,contact,Negative,,,,,,,,,,,,
AC TECHNICIAN HAS DAMAGED MY AC Please do needful its a request,damaged,Service quality,Negative,,,,,,,,,,,,,,,
"Excellent service. Have used it multiple times across different needs- Haircut, pest control, house cleaning. Never disappointed us",cleaning,Service quality,Positive,,,,,,,,,,,,,,,
best Services I used,services,Company's service,Positive,,,,,,,,,,,,,,,
No professional service,proffesional,Service quality,Negative,,,,,,,,,,,,,,,
Urban Company is the worst service provider in the world.....they don't even attend the service. Your call center executives are calling and speaking hopeless words. They are confirming that they can't guarantee the services but we need to wait till they come. This is how this unprofessionals work. Hopeless Business......,services,Company's service,Negative,,,,,,,,,,,,,,,
"Your service is not at all professional. I asked for cleaners for FRIDAY MORNING on THURSDAY EVENING at 7pm, and your team had accepted the work. Unfortunately, I had to request a call back from the company to know that the cleaners have not yet been assigned and that the schedule has been canceled without even notifying me. What kind of service is this? Worst service ever. This is the third time I'm having such an experience. This is heights of unprofessionalism.",services,Service schedule,Negative,Service quality,cleaners,Negative,,,,,,,,,,,,
support for the app is abysmal. if the service is not as per standards then they do anything to fix it. they are supposed to be a professional company but just work like a random service engineer,app,App utility,Negative,Service person attitude,professional,Negative,,,,,,,,,,,,
When i got my very first service bad the customer service guys also didn't do their job well . Ordered a full gellish manicure and full pedicure. The lady came and just changed my polish and said this is how we do it . Even the polish was the worst i have ever seen in my life .Gellish polish peeled off next day. I paid for the premium membership and got the worst treatment ,services,Company's service,Negative,Service quality,manicure,Negative,,,,,,,,,,,,
worst service........... less massage in facial.I got 28 minutes massage for 500 rupees when it should be 45 minutes... don't book urban company,massage,Service quality,Negative,,,,,,,,,,,,,,,
"I wanted to give -10 starts but there is no such option. I have booked deep kitchen cleaning with chimney cleaning. But after making the payment, order history shows my order as kitchen cleaning only. And the mail I have received does not mention anywhere what services have I booked. They are cheating customer. When the cleaner will arrive , how will I be able to fight with him fir inclusions and exclusions.",cleaning,Service quality,Negative,Payment,history,Negative,,,,,,,,,,,,
lovely service,services,Service quality,Positive,,,,,,,,,,,,,,,
Very bad experince in app aa well as call centre. Very unhappy.,experiance,App utility,Negative,,,,,,,,,,,,,,,
Worst app technician assigned changed by booking all by himself without informing me and ran away,app,App utility,Negative,,,,,,,,,,,,,,,
excellent service,service,Service quality,Positive,,,,,,,,,,,,,,,
Painters done it well If we have any work pending they said they will complete,pending work,Service person's attitude,Positive,,,,,,,,,,,,,,,
Poor escalation team. Poorest of services rendered. Their system has gone to dogs. No difference of u call out engr from outside. They are simply sitting to harrass customers. cheaters. Technicians cheat with material used cheating could range from quality to quantity. In my case it was quantity. charged for 10 mtrs wiring which is actually not more than 5 mtrs. Upon bringing this in knowledge of so called escalation team they are simply not bothered and taking this too lightly.,services,Company's service,Negative,,,,,,,,,,,,,,,
High convenience offered. Thank You. The process of asking for pin etc. should be at the end of service delivery not at the begining of it.,high convenience,Service quality,Positive,,,,,,,,,,,,,,,
UC is getting worst by the day it seems. Such pathetic experience. No number to call and no proper options on the app as well to resolve my issue. How come you keep assigning the same specialist whom I had blacklisted. I was promised she would never get assigned to me but now I seem to have no option but only go with her!!!!! Because of this pathetic and hopeless customer service I think I'll have stop using your service.,experience,Company's service,Negative,App utility,app,Negative,,,,,,,,,,,,
Was feeling relaxed after having a session from urbanclap,session,Service quality,Positive,,,,,,,,,,,,,,,
No customer care.......,customer care,Customer care,Negative,,,,,,,,,,,,,,,
Experience with professional was OK. but UC did not provide certian things for service of customer. The quality of safety kit has been of very poor quality. There is no communication chalane to talk to UC. It sems over all UC has detiorated in service as compared to earlier. I paid 288.00 instead of 258.00 . How do I recover ???,experience,Company's service,Negative,Payment,recover,Negative,,,,,,,,,,,,
"Urban company is dishonest, unreliable, trains staff to manipulate and defraud customers, do not give anything in writing, do not honor commitments, supplies inferior paint than what is selected, their sales person, contractors and suppliers are not on same page and all of them together becomes detrimental to customers interest. Complaints are not resolved amicably. They demand 100% advance and don't give anything in writing. App is maniplisted from back-end. Don't deserve any rating-0",complaints,Company's service,Negative,App utility,app,Negative,,,,,,,,,,,,
